time,speed,direction,TL_300107,TL_300108
2023-01-11 03:30:00,1.677511083408736,19.922314122652676,162.2,0.35999998
2023-01-11 04:30:00,1.7731735650083982,20.82677915723009,171.8,0.71999997
2023-01-11 05:30:00,1.930226456498113,31.265764754679285,125.1,0.0
2023-01-11 06:30:00,2.1493347119778177,50.83663757914156,160.0,0.0
2023-01-11 07:30:00,2.4381821100585443,71.71012381683428,213.5,0.35999998
2023-01-11 08:30:00,2.3101848989523583,85.1069219298519,351.5,0.71999997
2023-01-11 09:30:00,2.4287790474723474,95.88680326128339,48.4,0.35999998
2023-01-11 10:30:00,3.8015061283150406,99.07553416058512,352.7,4.68
2023-01-11 11:30:00,4.429113761444508,102.83208912319374,102.1,1.08
2023-01-11 12:30:00,4.931410511596038,112.13023538521018,181.1,0.71999997
2023-01-11 13:30:00,5.228547826439405,122.81904436227693,101.6,1.8
2023-01-11 14:30:00,4.722672210118963,127.34581587110787,284.4,0.71999997
2023-01-11 15:30:00,3.361989605790435,124.0659129141362,344.4,1.4399999
2023-01-11 16:30:00,2.478615163941749,110.55018106248167,323.2,0.0
2023-01-11 17:30:00,2.6155409040330517,95.28267083701903,332.2,0.35999998
2023-01-11 18:30:00,2.7256491362726107,95.38509835566995,358.5,2.52
2023-01-11 19:30:00,2.808697073737491,105.64098250167102,141.7,0.0
2023-01-11 20:30:00,2.6160057589422503,96.36241436381638,327.5,1.4399999
2023-01-11 21:30:00,2.3401624880693093,79.37415911871784,124.5,1.08
2023-01-11 22:30:00,2.1731318116454577,68.0784024497459,132.0,2.16
2023-01-11 23:30:00,2.067577880917001,61.17269978223548,171.4,0.0
2023-01-12 00:30:00,1.9513809018773596,63.28116755669088,197.8,2.16
2023-01-12 01:30:00,1.7978037097506752,59.671929666785985,235.3,0.35999998
2023-01-12 02:30:00,1.765275330915812,52.58499537569959,142.0,0.0
2023-01-12 03:30:00,2.2254098885074654,35.460731388730665,142.2,0.0
2023-01-12 04:30:00,2.5550480728894875,27.840934099344302,133.9,0.35999998
2023-01-12 05:30:00,2.570650434241912,27.516752749983365,138.4,0.71999997
2023-01-12 06:30:00,2.511633835084063,26.115358492729683,10.3,1.8
2023-01-12 07:30:00,2.4761812920367494,21.80606193320987,248.0,2.16
2023-01-12 08:30:00,2.2016263626983816,22.070152340390905,218.4,0.0
2023-01-12 09:30:00,1.6964142797976662,26.440646251368165,306.1,0.35999998
2023-01-12 10:30:00,1.606779347092712,40.775451101521504,103.7,1.4399999
2023-01-12 11:30:00,1.5334282865340723,76.46446194918218,9.4,2.52
2023-01-12 12:30:00,1.8786515189485273,105.99178964568482,16.1,3.96
2023-01-12 13:30:00,2.2913952921813614,122.31078758384078,191.4,3.2399998
2023-01-12 14:30:00,2.138724422137057,133.47381879540302,148.1,0.71999997
2023-01-12 15:30:00,1.2887370703713374,151.14611228865493,141.5,0.71999997
2023-01-12 16:30:00,0.724489069403303,170.4178605722657,204.3,0.71999997
2023-01-12 17:30:00,0.9572900936829937,344.0121078865374,65.6,1.8
2023-01-12 18:30:00,2.0386599303520345,3.2659254731501575,183.0,2.8799999
2023-01-12 19:30:00,2.0656115973664324,27.781515219289705,358.6,5.04
2023-01-12 20:30:00,2.0163979670017693,41.53348985684623,338.3,2.16
2023-01-12 21:30:00,1.9745568463990755,49.529038004315694,245.5,0.71999997
2023-01-12 22:30:00,1.865845252482742,69.81434044990063,270.7,3.2399998
2023-01-12 23:30:00,1.6936153388247355,82.99871570465666,127.5,0.35999998
2023-01-13 00:30:00,1.7578157298756203,100.09802327593174,72.2,0.0
2023-01-13 01:30:00,1.841953878070682,111.46773270649183,2.5,2.52
2023-01-13 02:30:00,1.67898499288588,104.76281740961196,264.2,0.71999997
2023-01-13 03:30:00,1.796046259373258,77.84479145227039,133.6,0.71999997
2023-01-13 04:30:00,2.2423846744370826,64.91230102343248,157.6,0.71999997
2023-01-13 05:30:00,2.544106692599136,68.93937632923738,15.8,3.2399998
2023-01-13 06:30:00,2.7378212465233385,76.21569254972174,356.7,0.71999997
2023-01-13 07:30:00,2.561236827007924,76.24324674944467,178.3,1.4399999
2023-01-13 08:30:00,2.3768685406909595,81.13821699726394,178.4,1.4399999
